scope,source_term,text,label,augmentation_type,base_score
main_fit,优惠,优会,1,filtered_positive,0.6461668015982014
main_fit,优惠,优回,1,filtered_positive,0.4627063742104744
main_fit,优惠,游惠,1,filtered_positive,0.5121270668416801
main_fit,您好,您 好,1,filtered_positive,0.14907678881679662
main_fit,您好,您号,1,filtered_positive,0.35721887771631766
main_fit,您好,您好,1,filtered_positive,0.14907678881679662
main_fit,您好,您好好,1,filtered_positive,0.31183209881972196
main_fit,您好,您您好,1,filtered_positive,0.23539388310724538
main_fit,您好,您豪,1,filtered_positive,0.5098489648818805
main_fit,尊敬,尊 敬,1,filtered_positive,0.16021259723275622
main_fit,尊敬,尊京,1,filtered_positive,0.12941351201964874
main_fit,尊敬,尊尊敬,1,filtered_positive,0.15025232752177808
main_fit,尊敬,尊敬,1,filtered_positive,0.16021259723275622
main_fit,尊敬,尊敬敬,1,filtered_positive,0.22410513826582487
main_fit,尊敬,尊经,1,filtered_positive,0.10090865604652527
main_fit,尊敬,樽敬,1,filtered_positive,0.30829100530867193
main_fit,尊敬,遵敬,1,filtered_positive,0.15346566847579188
main_fit,尊敬的,尊 敬 的,1,filtered_positive,0.177530558441315
main_fit,尊敬的,尊 敬的,1,filtered_positive,0.177530558441315
main_fit,尊敬的,尊-敬的,1,filtered_positive,0.37116753902267086
main_fit,尊敬的,尊京的,1,filtered_positive,0.22440244160882822
main_fit,尊敬的,尊尊敬的,1,filtered_positive,0.1630471797584709
main_fit,尊敬的,尊敬 的,1,filtered_positive,0.177530558441315
main_fit,尊敬的,尊敬-的,1,filtered_positive,0.2452450107295437
main_fit,尊敬的,尊敬得,1,filtered_positive,0.11835228188798193
main_fit,尊敬的,尊敬德,1,filtered_positive,0.14211119248709947
main_fit,尊敬的,尊敬敬的,1,filtered_positive,0.21393362488874634
main_fit,尊敬的,尊敬的,1,filtered_positive,0.17753102343965713
main_fit,尊敬的,尊经的,1,filtered_positive,0.17961785508794767
main_fit,尊敬的,樽敬的,1,filtered_positive,0.322563913748444
main_fit,尊敬的,遵敬的,1,filtered_positive,0.1636012165317582
main_fit,敬的,京的,1,filtered_positive,0.06869954978907802
main_fit,敬的,敬 的,1,filtered_positive,0.2569908018429235
main_fit,敬的,敬得,1,filtered_positive,0.18988148456182116
main_fit,敬的,敬德,1,filtered_positive,0.14304047720342078
main_fit,敬的,敬敬的,1,filtered_positive,0.22663305113024348
main_fit,敬的,敬的,1,filtered_positive,0.2569908018429235
main_fit,敬的,敬的的,1,filtered_positive,0.17129538575609837
main_fit,敬的,经的,1,filtered_positive,0.0670878300119147
main_fit,x折,x 折,1,filtered_positive,0.7132191968101215
main_fit,x折,x折,1,filtered_positive,0.7132191968101215
main_fit,x折,x折折,1,filtered_positive,0.6896643169319502
main_fit,x折,x着,1,filtered_positive,0.24467766792252157
main_fit,x折,x这,1,filtered_positive,0.08158840749774761
main_fit,新老,信老,1,filtered_positive,0.09212563342181256
main_fit,新老,新 老,1,filtered_positive,0.09999113101419324
main_fit,新老,新劳,1,filtered_positive,0.1502380928266068
main_fit,新老,新新老,1,filtered_positive,0.14852386950785468
main_fit,新老,新牢,1,filtered_positive,0.1671376628341777
main_fit,新老,新老,1,filtered_positive,0.09999113101419324
main_fit,新老,新老老,1,filtered_positive,0.07300871212813308
